Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Labelled Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Parameter Value[Column model]	Parameter Value[Column type]		Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Parameter Value[Ion source]	Parameter Value[Mass Analyzer]	MS Assay Name	Raw Spectral Data File	Protocol REF	Data Transformation Name	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
urine_XOP1	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM1 	Labelling metabolites	labelled_XOM1 	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	separated_molecules_XOM1 	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM1 	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP10	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM10	Labelling metabolites	labelled_XOM10	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	separated_molecules_XOM10	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM10	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP2	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM2	Labelling metabolites	labelled_XOM2	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	separated_molecules_XOM2	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM2	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP3	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM3	Labelling metabolites	labelled_XOM3	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	separated_molecules_XOM3	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM3	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP4	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM4	Labelling metabolites	labelled_XOM4	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	separated_molecules_XOM4	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM4	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP5	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM5	Labelling metabolites	labelled_XOM5	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	separated_molecules_XOM5	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM5	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP6	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM6	Labelling metabolites	labelled_XOM6	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	separated_molecules_XOM6	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM6	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP7	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM7	Labelling metabolites	labelled_XOM7	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	separated_molecules_XOM7	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM7	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP8	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM8	Labelling metabolites	labelled_XOM8	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	separated_molecules_XOM8	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM8	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP9	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM9	Labelling metabolites	labelled_XOM9	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	separated_molecules_XOM9	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM9	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
